# x, y coords (in cells) of grain grain_aspect-1.395.txt with roundness = 0.2
2.289696251025202400e+02,-2.225518885318292206e+01
2.355234721766355506e+02,2.891844986862475153e+01
1.964971023108642214e+02,7.855469246316165766e+01
1.934709830911384074e+02,8.306257264979085164e+01
1.630071221685074079e+02,1.367531210756228006e+02
1.343009492667142979e+02,1.549741067400774455e+02
6.650336782510888156e+01,1.601675099656224290e+02
6.619347541155681824e+01,1.601899103099104309e+02
8.306609810476968392e-02,1.646834085212182401e+02
-8.303923528480702809e-02,1.646950826772040557e+02
-6.460042623471809975e+01,1.693786859238753948e+02
-7.590906436322265449e+01,1.684148835671509516e+02
-1.347760308264509774e+02,1.538524160198504092e+02
-1.577184507495391870e+02,1.362966644727122798e+02
-1.884020877060097234e+02,8.105051112023572557e+01
-1.914825100005676006e+02,7.639192041092982777e+01
-2.364352629346236370e+02,1.864839317512018013e+01
-2.397117236759617924e+02,-2.078845768418702988e+01
-2.054832016368152949e+02,-8.408800984770451237e+01
-2.046214718038586113e+02,-8.578706772637532652e+01
-1.722357721020808583e+02,-1.540382090692684187e+02
-1.538284689291254494e+02,-1.717716044786159273e+02
-9.081382805597704078e+01,-1.988424706720299184e+02
-7.583329660243371961e+01,-2.017736082799062558e+02
-2.403685777689819503e+00,-2.003552586820418355e+02
2.376412229554241584e+00,-1.999447885818279076e+02
7.149669877328655332e+01,-1.893562965309728270e+02
8.377049908710769444e+01,-1.851190393448617328e+02
1.347448496657186183e+02,-1.564166281095383511e+02
1.522271900367764488e+02,-1.331146623131188278e+02
1.641772479687120665e+02,-8.192851628841236789e+01
1.775225012678893677e+02,-6.134464201014941409e+01
